type,level,cate,Recall @ 1, Recall @ 5,Recall @ 10,count
attribute,1,text,55.76,71.14,71.14,1171
object,1,text,53.38,70.38,70.38,2488
swap_attr,1,text,44.67,61.04,61.04,403
swap_attr,2,text,43.44,58.2,58.2,122
order,1,text,40.62,59.06,59.06,1556
object,2,text,37.73,60.77,60.77,1463
order,2,text,35.54,53.01,53.01,166
attribute,2,text,34.66,52.89,52.89,554
relation,2,text,34.13,59.59,59.59,542
relation,1,text,33.8,59.3,59.3,1349
object,1,image,57.47,70.14,70.14,2612
attribute,1,image,52.01,72.14,72.14,1267
swap_attr,1,image,41.07,57.49,57.49,487
swap_attr,2,image,40.56,57.34,57.34,143
object,2,image,39.32,58.63,58.63,1559
attribute,2,image,34.49,53.55,53.55,577
order,1,image,32.57,52.77,52.77,307
flip,1,image,31.68,53.68,53.68,1086
flip,2,image,30.49,61.41,61.41,469
